EDB,PlanId
Alpine Energy,98028
Aurora Energy,160746
Buller Electricity,94208
Centralines Ltd,11038
Counties Power,10261
EA Networks,93603
Electra,10309
Electricity Invercargill Ltd,97855
Firstlight Network,82038
Horizon Energy Distribution,161836
MainPower NZ Ltd,161795
Marlborough Lines Ltd,93318
Nelson Electricity Ltd,161792
Network Tasman Ltd,83918
Network Waitaki,161074
Northpower,161734
Orion New Zealand Ltd,95598
OtagoNet,161076
Powerco,6816
Scanpower Ltd,10995
The Lines Company,170563
The Power Company Ltd,160808
Top Energy,160952
Unison Networks Ltd,10274
Unknown,3205
Vector,161752
WEL Networks,161846
Waipa Networks Ltd,10972
Wellington Electricity,172954
Westpower Ltd,94199
