EDB,PlanId
Alpine Energy,136300
Aurora Energy,160747
Buller Electricity,165740
Centralines Ltd,11035
Counties Power,44349
EA Networks,136244
Electra,10304
Electricity Invercargill Ltd,97845
Firstlight Network,99812
Horizon Energy Distribution,157071
MainPower NZ Ltd,138352
Marlborough Lines Ltd,142602
Nelson Electricity Ltd,83909
Network Tasman Ltd,83913
Network Waitaki,100432
Northpower,155058
Orion New Zealand Ltd,38171
OtagoNet,94234
Powerco,38166
Scanpower Ltd,10991
The Lines Company,170548
The Power Company Ltd,97889
Top Energy,157082
Unison Networks Ltd,56201
Unknown,138325
Vector,10234
WEL Networks,38158
Waipa Networks Ltd,10968
Wellington Electricity,37887
Westpower Ltd,94196
