edb_region,name,daily_charge,nzd_per_kwh.Uncontrolled,nzd_per_kwh.Controlled,nzd_per_kwh.All inclusive,nzd_per_kwh.Day,nzd_per_kwh.Night
Centralines Ltd,161161,1.2484399999999998,0.207,,,,
Counties Power,172328,1.792206,0.113022,,,,
Electra,161182,1.2622399999999998,0.20814999999999997,,,,
Firstlight Network,172054,1.4038049999999997,0.14460099999999998,,,,
Horizon Energy Distribution,172053,1.4038049999999997,0.14154199999999997,,,,
Northpower,161160,1.1943899999999998,0.21044999999999997,,,,
Powerco,172244,0.832025,0.2041135,,,,
Scanpower Ltd,161161,1.2484399999999998,0.207,,,,
The Lines Company,172266,1.4038049999999997,0.13750549999999997,,,,
Unison Networks Ltd,172057,0.832025,0.20594199999999996,,,,
Vector,172326,1.792206,0.1129645,,,,
WEL Networks,172250,1.4038049999999997,0.1356425,,,,
Waipa Networks Ltd,172266,1.4038049999999997,0.13750549999999997,,,,
Wellington Electricity,172205,0.832025,0.21813199999999996,,,,
