postcode,climate_zone
0110,Northland
0112,Northland
0114,Northland
0116,Northland
0118,Northland
0170,Northland
0171,Northland
0172,Northland
0173,Northland
0174,Northland
0175,Northland
0176,Northland
0178,Northland
0179,Northland
0181,Northland
0182,Northland
0184,Northland
0185,Northland
0192,Northland
0193,Northland
0200,Northland
0202,Northland
0204,Northland
0210,Northland
0211,Northland
0230,Northland
0272,Northland
0281,Northland
0282,Northland
0283,Northland
0293,Northland
0294,Northland
0295,Northland
0310,Northland
0370,Northland
0371,Northland
0372,Northland
0373,Northland
0374,Northland
0376,Northland
0377,Northland
0379,Northland
0381,Northland
0391,Northland
0405,Northland
0410,Northland
0420,Northland
0472,Northland
0473,Northland
0474,Northland
0475,Northland
0476,Northland
0478,Northland
0479,Northland
0481,Northland
0482,Northland
0483,Northland
0484,Northland
0486,Northland
0491,Northland
0492,Northland
0494,Northland
0496,Northland
0505,Northland
0510,Northland
0520,Northland
0530,Northland
0571,Northland
0573,Northland
0582,Northland
0583,Northland
0587,Northland
0588,Northland
0589,Northland
0591,Northland
0592,Northland
0593,Northland
0594,Northland
0600,Auckland
0602,Auckland
0604,Auckland
0610,Auckland
0612,Auckland
0614,Auckland
0616,Auckland
0618,Auckland
0620,Auckland
0622,Auckland
0624,Auckland
0626,Auckland
0627,Auckland
0629,Auckland
0630,Auckland
0632,Auckland
0772,Auckland
0781,Auckland
0782,Auckland
0792,Auckland
0793,Auckland
0794,Auckland
0800,Auckland
0810,Auckland
0812,Auckland
0814,Auckland
0816,Auckland
0820,Auckland
0830,Auckland
0871,Auckland
0873,Auckland
0874,Auckland
0875,Auckland
0881,Auckland
0882,Auckland
0883,Auckland
0891,Auckland
0892,Auckland
0900,Auckland
0910,Auckland
0920,Auckland
0930,Auckland
0931,Auckland
0932,Auckland
0972,Auckland
0973,Auckland
0974,Auckland
0975,Northland
0977,Auckland
0981,Auckland
0982,Auckland
0983,Auckland
0984,Auckland
0985,Auckland
0986,Auckland
0991,Auckland
0992,Auckland
0993,Auckland
0994,Auckland
1010,Auckland
1011,Auckland
1021,Auckland
1022,Auckland
1023,Auckland
1024,Auckland
1025,Auckland
1026,Auckland
1041,Auckland
1042,Auckland
1050,Auckland
1051,Auckland
1052,Auckland
1060,Auckland
1061,Auckland
1062,Auckland
1071,Auckland
1072,Auckland
1081,Auckland
1971,Auckland
2010,Auckland
2012,Auckland
2013,Auckland
2014,Auckland
2016,Auckland
2018,Auckland
2019,Auckland
2022,Auckland
2023,Auckland
2024,Auckland
2025,Auckland
2102,Auckland
2103,Auckland
2104,Auckland
2105,Auckland
2110,Auckland
2112,Auckland
2113,Auckland
2120,Auckland
2121,Hamilton
2122,Auckland
2123,Auckland
2124,Auckland
2402,Hamilton
2471,Hamilton
2472,Hamilton
2473,Hamilton
2474,Hamilton
2571,Auckland
2576,Auckland
2577,Auckland
2578,Auckland
2579,Auckland
2580,Auckland
2582,Auckland
2583,Auckland
2584,Auckland
2585,Auckland
2675,Auckland
2676,Auckland
2677,Hamilton
2678,Auckland
2679,Auckland
2681,Auckland
2682,Hamilton
2683,Auckland
2684,Auckland
2693,Hamilton
2694,Hamilton
2695,Hamilton
2696,Hamilton
2697,Hamilton
3010,Rotorua
3015,Rotorua
3020,Rotorua
3025,Bay of Plenty
3072,Rotorua
3073,Rotorua
3074,Rotorua
3076,Rotorua
3077,Rotorua
3078,Taupo
3079,Bay of Plenty
3081,Taupo
3083,Rotorua
3096,Rotorua
3097,Rotorua
3110,Bay of Plenty
3112,Bay of Plenty
3114,Bay of Plenty
3116,Bay of Plenty
3118,Bay of Plenty
3119,Bay of Plenty
3120,Bay of Plenty
3121,Bay of Plenty
3122,Bay of Plenty
3123,Bay of Plenty
3127,Bay of Plenty
3129,Bay of Plenty
3170,Bay of Plenty
3171,Bay of Plenty
3172,Bay of Plenty
3173,Bay of Plenty
3174,Bay of Plenty
3175,Bay of Plenty
3176,Bay of Plenty
3177,Bay of Plenty
3178,Bay of Plenty
3179,Bay of Plenty
3180,Bay of Plenty
3181,Bay of Plenty
3182,Bay of Plenty
3183,Bay of Plenty
3186,Bay of Plenty
3187,Bay of Plenty
3188,Bay of Plenty
3189,Bay of Plenty
3191,Bay of Plenty
3192,Bay of Plenty
3193,Bay of Plenty
3194,Bay of Plenty
3196,Bay of Plenty
3197,Bay of Plenty
3198,Bay of Plenty
3199,Bay of Plenty
3200,Hamilton
3204,Hamilton
3206,Hamilton
3210,Hamilton
3214,Hamilton
3216,Hamilton
3218,Hamilton
3225,Hamilton
3281,Hamilton
3282,Hamilton
3283,Hamilton
3284,Hamilton
3285,Hamilton
3286,Hamilton
3287,Hamilton
3288,Hamilton
3289,Hamilton
3290,Hamilton
3293,Hamilton
3295,Hamilton
3296,Hamilton
3297,Hamilton
3300,Hamilton
3310,Hamilton
3320,Hamilton
3330,Taupo
3332,Taupo
3334,Taupo
3371,Hamilton
3372,Hamilton
3373,Hamilton
3374,Hamilton
3375,Hamilton
3377,Taupo
3378,Taupo
3379,Taupo
3380,Hamilton
3381,Taupo
3382,Taupo
3384,Taupo
3385,Taupo
3391,Hamilton
3392,Hamilton
3393,Hamilton
3400,Hamilton
3401,Hamilton
3410,Hamilton
3411,Hamilton
3415,Hamilton
3420,Hamilton
3421,Taupo
3432,Hamilton
3434,Hamilton
3471,Hamilton
3472,Hamilton
3473,Hamilton
3474,Hamilton
3475,Hamilton
3481,Hamilton
3482,Hamilton
