postcode,edb_region
0110,Northpower
0112,Northpower
0114,Northpower
0116,Northpower
0118,Northpower
0170,Northpower
0171,Northpower
0172,Northpower
0173,Northpower
0174,Northpower
0175,Northpower
0176,Northpower
0178,Northpower
0179,Northpower
0181,Northpower
0182,Top Energy
0184,Northpower
0185,Northpower
0192,Northpower
0193,Northpower
0200,Top Energy
0202,Top Energy
0204,Top Energy
0210,Top Energy
0211,Top Energy
0230,Top Energy
0272,Top Energy
0281,Top Energy
0282,Top Energy
0283,Top Energy
0293,Top Energy
0294,Top Energy
0295,Top Energy
0310,Northpower
0370,Northpower
0371,Northpower
0372,Northpower
0373,Northpower
0374,Northpower
0376,Northpower
0377,Northpower
0379,Northpower
0381,Northpower
0391,Northpower
0405,Top Energy
0410,Top Energy
0420,Top Energy
0472,Top Energy
0473,Top Energy
0474,Top Energy
0475,Top Energy
0476,Top Energy
0478,Top Energy
0479,Top Energy
0481,Top Energy
0482,Top Energy
0483,Top Energy
0484,Top Energy
0486,Top Energy
0491,Top Energy
0492,Top Energy
0494,Top Energy
0496,Top Energy
0505,Northpower
0510,Northpower
0520,Northpower
0530,Northpower
0571,Northpower
0573,Northpower
0582,Northpower
0583,Northpower
0587,Northpower
0588,Northpower
0589,Northpower
0591,Northpower
0592,Northpower
0593,Northpower
0594,Northpower
0600,Vector
0602,Vector
0604,Vector
0610,Vector
0612,Vector
0614,Vector
0616,Vector
0618,Vector
0620,Vector
0622,Vector
0624,Vector
0626,Vector
0627,Vector
0629,Vector
0630,Vector
0632,Vector
0772,Vector
0781,Vector
0782,Vector
0792,Vector
0793,Vector
0794,Vector
0800,Vector
0810,Vector
0812,Vector
0814,Vector
0816,Vector
0820,Vector
0830,Vector
0871,Vector
0873,Vector
0874,Vector
0875,Vector
0881,Vector
0882,Vector
0883,Vector
0891,Vector
0892,Vector
0900,Vector
0910,Vector
0920,Vector
0930,Vector
0931,Vector
0932,Vector
0972,Vector
0973,Vector
0974,Vector
0975,Vector
0977,Vector
0981,Vector
0982,Vector
0983,Vector
0984,Vector
0985,Vector
0986,Vector
0991,Vector
0992,Vector
0993,Vector
0994,Vector
1010,Vector
1011,Vector
1021,Vector
1022,Vector
1023,Vector
1024,Vector
1025,Vector
1026,Vector
1041,Vector
1042,Vector
1050,Vector
1051,Vector
1052,Vector
1060,Vector
1061,Vector
1062,Vector
1071,Vector
1072,Vector
1081,Vector
1971,Vector
2010,Vector
2012,Vector
2013,Vector
2014,Vector
2016,Vector
2018,Vector
2019,Vector
2022,Vector
2023,Vector
2024,Vector
2025,Vector
2102,Vector
2103,Vector
2104,Vector
2105,Vector
2110,Vector
2112,Vector
2113,Counties Power
2120,Counties Power
2121,Counties Power
2122,Counties Power
2123,Counties Power
2124,Counties Power
2402,Counties Power
2471,WEL Networks
2472,Counties Power
2473,Counties Power
2474,Counties Power
2571,Vector
2576,Vector
2577,Counties Power
2578,Counties Power
2579,Counties Power
2580,Counties Power
2582,Vector
2583,Counties Power
2584,Counties Power
2585,Vector
2675,Counties Power
2676,Counties Power
2677,Counties Power
2678,Counties Power
2679,Counties Power
2681,Counties Power
2682,Counties Power
2683,Counties Power
2684,Counties Power
2693,Counties Power
2694,Counties Power
2695,Counties Power
2696,Counties Power
2697,Counties Power
3010,Unison Networks Ltd
3015,Unison Networks Ltd
3020,Unison Networks Ltd
3025,Horizon Energy Distribution
3072,Unison Networks Ltd
3073,Unison Networks Ltd
3074,Unison Networks Ltd
3076,Unison Networks Ltd
3077,Unison Networks Ltd
3078,Unison Networks Ltd
3079,Horizon Energy Distribution
3081,Unison Networks Ltd
3083,Unison Networks Ltd
3096,Powerco
3097,Unison Networks Ltd
3110,Powerco
3112,Powerco
3114,Powerco
3116,Powerco
3118,Powerco
3119,Powerco
3120,Horizon Energy Distribution
3121,Horizon Energy Distribution
3122,Horizon Energy Distribution
3123,Horizon Energy Distribution
3127,Horizon Energy Distribution
3129,Powerco
3170,Powerco
3171,Powerco
3172,Powerco
3173,Powerco
3174,Powerco
3175,Powerco
3176,Powerco
3177,Powerco
3178,Powerco
3179,Powerco
3180,Powerco
3181,Powerco
3182,Powerco
3183,Powerco
3186,Powerco
3187,Powerco
3188,Powerco
3189,Powerco
3191,Horizon Energy Distribution
3192,Horizon Energy Distribution
3193,Horizon Energy Distribution
3194,Horizon Energy Distribution
3196,Horizon Energy Distribution
3197,Horizon Energy Distribution
3198,Horizon Energy Distribution
3199,Horizon Energy Distribution
3200,WEL Networks
3204,WEL Networks
3206,WEL Networks
3210,WEL Networks
3214,WEL Networks
3216,WEL Networks
3218,WEL Networks
3225,WEL Networks
3281,WEL Networks
3282,WEL Networks
3283,Waipa Networks Ltd
3284,WEL Networks
3285,WEL Networks
3286,WEL Networks
3287,WEL Networks
3288,WEL Networks
3289,WEL Networks
3290,WEL Networks
3293,WEL Networks
3295,WEL Networks
3296,WEL Networks
3297,WEL Networks
3300,Powerco
3310,Powerco
3320,Powerco
3330,Unison Networks Ltd
3332,Unison Networks Ltd
3334,The Lines Company
3371,Powerco
3372,Powerco
3373,Powerco
3374,Powerco
3375,WEL Networks
3377,The Lines Company
3378,Unison Networks Ltd
3379,Unison Networks Ltd
3380,Powerco
3381,The Lines Company
3382,The Lines Company
3384,Unison Networks Ltd
3385,Unison Networks Ltd
3391,Powerco
3392,Powerco
3393,Powerco
3400,Powerco
3401,Powerco
3410,Powerco
3411,Powerco
3415,Powerco
3420,Powerco
3421,The Lines Company
3432,Waipa Networks Ltd
3434,Waipa Networks Ltd
3471,Powerco
3472,Powerco
3473,Powerco
3474,Powerco
3475,Powerco
3481,Powerco
3482,Powerco
3483,Powerco
3484,Powerco
3485,Powerco
3491,Unison Networks Ltd
3492,The Lines Company
3493,WEL Networks
3494,Powerco
3495,Waipa Networks Ltd
3496,Waipa Networks Ltd
3500,Powerco
3503,Powerco
3506,Powerco
3508,Powerco
3510,Powerco
3574,Powerco
3575,Powerco
3576,Powerco
3577,Powerco
3578,Powerco
3579,Powerco
3581,Powerco
3582,Powerco
3583,Powerco
3584,Powerco
3591,Powerco
3592,Powerco
3597,Powerco
3600,Powerco
3610,Powerco
3611,Powerco
3620,Powerco
3671,Powerco
3672,Powerco
3673,Powerco
3674,Powerco
3681,Powerco
3682,Powerco
3691,Powerco
3700,WEL Networks
3710,WEL Networks
3720,WEL Networks
3721,WEL Networks
3771,WEL Networks
3772,Counties Power
3781,WEL Networks
3782,WEL Networks
3784,WEL Networks
3791,WEL Networks
3792,WEL Networks
3793,WEL Networks
3794,WEL Networks
3800,Waipa Networks Ltd
3802,Waipa Networks Ltd
3803,Waipa Networks Ltd
3872,Waipa Networks Ltd
3873,Waipa Networks Ltd
3874,The Lines Company
3875,Waipa Networks Ltd
3876,Waipa Networks Ltd
3877,The Lines Company
3878,Waipa Networks Ltd
3879,Waipa Networks Ltd
3880,Waipa Networks Ltd
3881,Waipa Networks Ltd
3882,WEL Networks
3883,Waipa Networks Ltd
3885,Waipa Networks Ltd
3886,Waipa Networks Ltd
3889,Waipa Networks Ltd
3894,WEL Networks
3895,WEL Networks
3900,Waipa Networks Ltd
3910,The Lines Company
3912,The Lines Company
3920,The Lines Company
3924,The Lines Company
3926,The Lines Company
3970,The Lines Company
3971,The Lines Company
3972,The Lines Company
3973,Waipa Networks Ltd
3974,Waipa Networks Ltd
3975,The Lines Company
3976,The Lines Company
3977,The Lines Company
3978,The Lines Company
3979,The Lines Company
3980,The Lines Company
3981,The Lines Company
3982,The Lines Company
3983,The Lines Company
3985,The Lines Company
3986,The Lines Company
3987,The Lines Company
3988,The Lines Company
3989,The Lines Company
3990,The Lines Company
3991,The Lines Company
3992,The Lines Company
3993,The Lines Company
3994,The Lines Company
3995,The Lines Company
3996,The Lines Company
3997,The Lines Company
3998,The Lines Company
4010,Firstlight Network
4022,Firstlight Network
4032,Firstlight Network
4071,Firstlight Network
4072,Firstlight Network
4073,Firstlight Network
4075,Firstlight Network
4077,Firstlight Network
4078,Firstlight Network
4079,Firstlight Network
4081,Firstlight Network
4082,Firstlight Network
4083,Firstlight Network
4086,Firstlight Network
4087,Firstlight Network
4091,Firstlight Network
4092,Firstlight Network
4093,Firstlight Network
4094,Firstlight Network
4102,Unison Networks Ltd
4104,Unison Networks Ltd
4108,Firstlight Network
4110,Unison Networks Ltd
4112,Unison Networks Ltd
4120,Unison Networks Ltd
4122,Unison Networks Ltd
4130,Unison Networks Ltd
4171,Unison Networks Ltd
4172,Unison Networks Ltd
4174,CentraLines Ltd
4175,Unison Networks Ltd
4178,CentraLines Ltd
4179,Unison Networks Ltd
4180,Unison Networks Ltd
4181,Unison Networks Ltd
4182,Unison Networks Ltd
4183,Unison Networks Ltd
4184,Unison Networks Ltd
4186,Unison Networks Ltd
4188,Firstlight Network
4189,Firstlight Network
4191,Firstlight Network
4193,Firstlight Network
4195,Firstlight Network
4196,Firstlight Network
4197,Firstlight Network
4198,Firstlight Network
4200,CentraLines Ltd
4202,CentraLines Ltd
