electricity_plan_name,fixed_rate,import_rates_day,import_rates_night,import_rates_export,kg_co2e_per_kwh
Electricity PlanId 91543,3.208,0.239,0.239,0.120,0.107
Electricity PlanId 160956,3.051,0.313,0.194,0.120,0.107
Electricity PlanId 160831,2.591,0.213,0.175,0.120,0.107
Electricity PlanId 175781,3.277,0.282,0.282,0.120,0.107
Electricity PlanId 160753,2.429,0.257,0.205,0.120,0.107
Electricity PlanId 161005,2.151,0.282,0.155,0.120,0.107
Electricity PlanId 161155,2.734,0.213,0.213,0.120,0.107
Electricity PlanId 160772,2.070,0.274,0.182,0.120,0.107
Electricity PlanId 161928,1.496,0.307,0.307,0.120,0.107
Electricity PlanId 161153,2.071,0.300,0.257,0.120,0.107
Electricity PlanId 175851,3.852,0.229,0.229,0.120,0.107
Electricity PlanId 160727,2.073,0.339,0.159,0.120,0.107
Electricity PlanId 161661,2.080,0.313,0.226,0.120,0.107
Electricity PlanId 160770,2.417,0.212,0.172,0.120,0.107
Electricity PlanId 160957,2.175,0.265,0.151,0.120,0.107
Electricity PlanId 160966,3.360,0.280,0.243,0.120,0.107
Electricity PlanId 169118,3.179,0.254,0.200,0.120,0.107
Electricity PlanId 160743,2.072,0.294,0.124,0.120,0.107
Electricity PlanId 177843,1.587,0.233,0.233,0.120,0.107
Electricity PlanId 160980,2.306,0.394,0.151,0.120,0.107
Electricity PlanId 160789,3.000,0.347,0.189,0.120,0.107
Electricity PlanId 160969,3.713,0.209,0.134,0.120,0.107
Electricity PlanId 161099,2.072,0.316,0.141,0.120,0.107
Electricity PlanId 161076,2.865,0.348,0.143,0.120,0.107
Electricity PlanId 161074,3.818,0.246,0.115,0.120,0.107
Electricity PlanId 160808,2.352,0.327,0.114,0.120,0.107
Electricity PlanId 160918,2.073,0.267,0.115,0.120,0.107
