edb_region,name,fixed_rate,import_rates.Uncontrolled,import_rates.Controlled,import_rates.All inclusive,import_rates.Day,import_rates.Night
Alpine Energy,156310,3.1624999999999996,,,,0.27749499999999994,0.22068499999999996
Aurora Energy,161099,2.30115,,,,0.365585,0.16433499999999998
Buller Electricity,160789,3.7823499999999997,,,,0.344885,0.18963499999999997
Centralines Ltd,100015,3.4844999999999997,,,0.286695,,
Counties Power,77409,3.158245,,,,0.333155,0.29934499999999997
Electra,91773,1.9894999999999998,,,,0.34729999999999994,0.198145
Electricity Invercargill Ltd,92272,2.461,,,,0.271745,0.14271499999999998
Firstlight Network,99894,4.427499999999999,0.23747499999999996,,,,
Horizon Energy Distribution,8908,3.0941899999999998,,,0.26208499999999996,,
MainPower NZ Ltd,9268,4.418184999999999,,,,0.22516999999999998,0.20182499999999998
Marlborough Lines Ltd,81580,3.6031799999999996,,,,0.286695,0.26105
Nelson Electricity Ltd,160783,2.3,,,,0.301185,0.210335
Network Tasman Ltd,160957,2.5242499999999994,,,,0.31498499999999996,0.180435
Network Waitaki,91955,4.6805,,,,0.233335,0.14053
Northpower,91543,3.6685,,,0.251965,,
Orion New Zealand Ltd,177883,2.024,,,,0.27186,0.15938999999999998
OtagoNet,8489,3.4209049999999994,,,,0.36455,0.22298499999999996
Powerco,91651,2.7944999999999998,,,,0.326715,0.19066999999999998
Scanpower Ltd,81753,1.5734299999999999,,,,0.36926499999999995,0.304635
The Lines Company,91809,2.9555,,,,0.33108499999999996,0.193545
The Power Company Ltd,92214,2.9094999999999995,,,,0.32418499999999995,0.150075
Top Energy,160956,3.6799999999999997,,,,0.33683499999999994,0.20918499999999998
Unison Networks Ltd,156274,2.3345,,,,0.35477499999999995,0.13777
Vector,68301,2.648105,,,,0.25093,0.218385
WEL Networks,177399,2.8059999999999996,,,,0.24195999999999998,0.196075
Waipa Networks Ltd,161928,1.668995,,,0.357075,,
Wellington Electricity,177371,2.2424999999999997,,,0.210335,,
Westpower Ltd,160980,3.16135,,,,0.40468499999999996,0.15513499999999997
