climate_zone,electricity_plan_name,natural_gas_plan_name,lpg_plan_name,wood_price_name,petrol_price_name,diesel_price_name,people_in_house,disconnect_gas,hot_water_usage,hot_water_heating_source,annual_variable_cost,annual_kg_co2e
Northland,Electricity PlanId 91543,Methane PlanId 161168,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Low,Electric hot water cylinder,218.31460021019166,92.88323831695890
Northland,Electricity PlanId 91543,Methane PlanId 161168,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Low,Piped gas hot water cylinder,538.21188930803419,707.45748847365473
Northland,Electricity PlanId 91543,Methane PlanId 161168,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Low,Piped gas instantaneous,67.51110805359380,88.74058692585636
Northland,Electricity PlanId 91543,Methane PlanId 161168,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Low,Bottled gas instantaneous,111.03950364055873,97.38710565196544
Northland,Electricity PlanId 91543,Methane PlanId 161168,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Low,Hot water heat pump,97.56551080826948,41.50982381936574
Northland,Electricity PlanId 91543,Methane PlanId 161168,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Average,Electric hot water cylinder,273.77147064995705,116.47769195592799
Northland,Electricity PlanId 91543,Methane PlanId 161168,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Average,Piped gas hot water cylinder,575.10620161662962,755.95355116442738
Northland,Electricity PlanId 91543,Methane PlanId 161168,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Average,Piped gas instantaneous,106.66154737386594,140.20223618405029
Northland,Electricity PlanId 91543,Methane PlanId 161168,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Average,Bottled gas instantaneous,175.43254168670907,153.86296688916289
Northland,Electricity PlanId 91543,Methane PlanId 161168,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Average,Hot water heat pump,111.02591625481448,47.23663295503786
Northland,Electricity PlanId 91543,Methane PlanId 161168,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,High,Electric hot water cylinder,363.35564597573193,154.59180937272427
Northland,Electricity PlanId 91543,Methane PlanId 161168,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,High,Piped gas hot water cylinder,634.70470611512997,834.29334474182917
Northland,Electricity PlanId 91543,Methane PlanId 161168,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,High,Piped gas instantaneous,169.90456473738249,223.33259267805587
Northland,Electricity PlanId 91543,Methane PlanId 161168,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,High,Bottled gas instantaneous,279.45206468433656,245.09320427232797
Northland,Electricity PlanId 91543,Methane PlanId 161168,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,High,Hot water heat pump,132.76964813000257,56.48763232804666
Northland,Electricity PlanId 91543,Methane PlanId 161168,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Low,Electric hot water cylinder,218.31460021019166,92.88323831695890
