edb_region,name,fixed_rate,import_rates.Uncontrolled,import_rates.Controlled,import_rates.All inclusive,import_rates.Day,import_rates.Night
Centralines Ltd,161179,2.13003,0.12994999999999998,,,,
Counties Power,161165,2.1035799999999996,0.12764999999999999,,,,
Electra,161184,1.8218299999999998,0.1564,,,,
Firstlight Network,161171,1.7597299999999998,0.1541,,,,
Horizon Energy Distribution,161192,1.86093,0.15295,,,,
Northpower,161168,1.72638,0.14834999999999998,,,,
Powerco,161191,1.74938,0.1518,,,,
Scanpower Ltd,161179,2.13003,0.12994999999999998,,,,
The Lines Company,161190,1.74938,0.1518,,,,
Unison Networks Ltd,161179,2.13003,0.12994999999999998,,,,
Vector,161159,2.1035799999999996,0.12764999999999999,,,,
WEL Networks,161166,1.74938,0.1518,,,,
Waipa Networks Ltd,161175,1.74938,0.1518,,,,
Wellington Electricity,161185,2.03688,0.13915,,,,
