Day of Simulation[],Month[],Day of Month[],DST Indicator[1=yes 0=no],Hour[],DayType,Power IT Light Other White
1,1,1,1,1,Tuesday,410.315
1,1,1,1,2,Tuesday,375.891
1,1,1,1,3,Tuesday,364.529
1,1,1,1,4,Tuesday,363.070
1,1,1,1,5,Tuesday,392.949
1,1,1,1,6,Tuesday,450.086
1,1,1,1,7,Tuesday,524.960
1,1,1,1,8,Tuesday,574.490
1,1,1,1,9,Tuesday,556.349
1,1,1,1,10,Tuesday,540.352
1,1,1,1,11,Tuesday,537.444
1,1,1,1,12,Tuesday,528.843
1,1,1,1,13,Tuesday,543.391
1,1,1,1,14,Tuesday,545.707
1,1,1,1,15,Tuesday,556.934
1,1,1,1,16,Tuesday,555.662
1,1,1,1,17,Tuesday,560.465
1,1,1,1,18,Tuesday,614.141
1,1,1,1,19,Tuesday,684.752
1,1,1,1,20,Tuesday,753.718
1,1,1,1,21,Tuesday,788.122
1,1,1,1,22,Tuesday,688.578
1,1,1,1,23,Tuesday,547.596
1,1,1,1,24,Tuesday,465.767
2,1,2,1,1,Wednesday,410.315
2,1,2,1,2,Wednesday,375.891
2,1,2,1,3,Wednesday,364.529
2,1,2,1,4,Wednesday,363.070
2,1,2,1,5,Wednesday,392.949
2,1,2,1,6,Wednesday,450.086
2,1,2,1,7,Wednesday,524.960
2,1,2,1,8,Wednesday,574.490
2,1,2,1,9,Wednesday,556.349
2,1,2,1,10,Wednesday,540.352
2,1,2,1,11,Wednesday,537.444
2,1,2,1,12,Wednesday,528.843
2,1,2,1,13,Wednesday,543.391
2,1,2,1,14,Wednesday,545.707
2,1,2,1,15,Wednesday,556.934
2,1,2,1,16,Wednesday,555.662
2,1,2,1,17,Wednesday,560.465
2,1,2,1,18,Wednesday,614.141
2,1,2,1,19,Wednesday,684.752
2,1,2,1,20,Wednesday,753.718
2,1,2,1,21,Wednesday,788.122
2,1,2,1,22,Wednesday,688.578
2,1,2,1,23,Wednesday,547.596
2,1,2,1,24,Wednesday,465.767
3,1,3,1,1,Thursday,410.315
3,1,3,1,2,Thursday,375.891
3,1,3,1,3,Thursday,364.529
3,1,3,1,4,Thursday,363.070
3,1,3,1,5,Thursday,392.949
3,1,3,1,6,Thursday,450.086
3,1,3,1,7,Thursday,524.960
3,1,3,1,8,Thursday,574.490
3,1,3,1,9,Thursday,556.349
3,1,3,1,10,Thursday,540.352
3,1,3,1,11,Thursday,537.444
3,1,3,1,12,Thursday,528.843
3,1,3,1,13,Thursday,543.391
3,1,3,1,14,Thursday,545.707
3,1,3,1,15,Thursday,556.934
3,1,3,1,16,Thursday,555.662
3,1,3,1,17,Thursday,560.465
3,1,3,1,18,Thursday,614.141
3,1,3,1,19,Thursday,684.752
3,1,3,1,20,Thursday,753.718
3,1,3,1,21,Thursday,788.122
3,1,3,1,22,Thursday,688.578
3,1,3,1,23,Thursday,547.596
3,1,3,1,24,Thursday,465.767
4,1,4,1,1,Friday,410.315
4,1,4,1,2,Friday,375.891
4,1,4,1,3,Friday,364.529
4,1,4,1,4,Friday,363.070
4,1,4,1,5,Friday,392.949
4,1,4,1,6,Friday,450.086
4,1,4,1,7,Friday,524.960
4,1,4,1,8,Friday,574.490
4,1,4,1,9,Friday,556.349
4,1,4,1,10,Friday,540.352
4,1,4,1,11,Friday,537.444
4,1,4,1,12,Friday,528.843
4,1,4,1,13,Friday,543.391
4,1,4,1,14,Friday,545.707
4,1,4,1,15,Friday,556.934
