Day of Simulation[],Month[],Day of Month[],DST Indicator[1=yes 0=no],Hour[],DayType,Power Cook IT Light Other White
1,1,1,1,1,Tuesday,417.15
1,1,1,1,2,Tuesday,383.285
1,1,1,1,3,Tuesday,371.115
1,1,1,1,4,Tuesday,370.019
1,1,1,1,5,Tuesday,401.484
1,1,1,1,6,Tuesday,475.637
1,1,1,1,7,Tuesday,588.172
1,1,1,1,8,Tuesday,622.447
1,1,1,1,9,Tuesday,614.693
1,1,1,1,10,Tuesday,601.794
1,1,1,1,11,Tuesday,644.683
1,1,1,1,12,Tuesday,671.489
1,1,1,1,13,Tuesday,632.589
1,1,1,1,14,Tuesday,621.253
1,1,1,1,15,Tuesday,668.336
1,1,1,1,16,Tuesday,893.497
1,1,1,1,17,Tuesday,1256.613
1,1,1,1,18,Tuesday,1088.619
1,1,1,1,19,Tuesday,1035.296
1,1,1,1,20,Tuesday,896.448
1,1,1,1,21,Tuesday,854.855
1,1,1,1,22,Tuesday,709.289
1,1,1,1,23,Tuesday,563.353
1,1,1,1,24,Tuesday,478.195
2,1,2,1,1,Wednesday,417.15
2,1,2,1,2,Wednesday,383.285
2,1,2,1,3,Wednesday,371.115
2,1,2,1,4,Wednesday,370.019
2,1,2,1,5,Wednesday,401.484
2,1,2,1,6,Wednesday,475.637
2,1,2,1,7,Wednesday,588.172
2,1,2,1,8,Wednesday,622.447
2,1,2,1,9,Wednesday,614.693
2,1,2,1,10,Wednesday,601.794
2,1,2,1,11,Wednesday,644.683
2,1,2,1,12,Wednesday,671.489
2,1,2,1,13,Wednesday,632.589
2,1,2,1,14,Wednesday,621.253
2,1,2,1,15,Wednesday,668.336
2,1,2,1,16,Wednesday,893.497
2,1,2,1,17,Wednesday,1256.613
2,1,2,1,18,Wednesday,1088.619
2,1,2,1,19,Wednesday,1035.296
2,1,2,1,20,Wednesday,896.448
2,1,2,1,21,Wednesday,854.855
2,1,2,1,22,Wednesday,709.289
2,1,2,1,23,Wednesday,563.353
2,1,2,1,24,Wednesday,478.195
3,1,3,1,1,Thursday,417.15
3,1,3,1,2,Thursday,383.285
3,1,3,1,3,Thursday,371.115
3,1,3,1,4,Thursday,370.019
3,1,3,1,5,Thursday,401.484
3,1,3,1,6,Thursday,475.637
3,1,3,1,7,Thursday,588.172
3,1,3,1,8,Thursday,622.447
3,1,3,1,9,Thursday,614.693
3,1,3,1,10,Thursday,601.794
